Feature,Importance
Animal fats,0.05279140708526535
"Aquatic Products, Other",0.030440264502627983
Cereals - Excluding Beer,0.042069373501614236
Eggs,0.14765487396949284
"Fish, Seafood",0.017578278477887226
Fruits - Excluding Wine,0.033643413163201207
Meat,0.030650838985940294
Miscellaneous,0.049877423385147904
Offals,0.0392980552168827
Oilcrops,0.03920080478975884
Pulses,0.042253963360177615
Spices,0.026778984971628356
Starchy Roots,0.04947762586057726
Stimulants,0.06071663561226106
Sugar & Sweeteners,0.05033647620166559
Sugar Crops,0.014982182674268988
Treenuts,0.03832573539614016
Vegetable Oils,0.026523802333414587
Vegetables,0.06689091648470162
Vegetal Products,0.0647052070419315
Obesity,0.07580373698541461
